paper_id	affiliation_string	labels	labels_name	institution1	institution2	dataset
W4225244422	1Department of Neurosurgery, Beijing Tiantan Hospital, Capital Medical University, Beijing, China.	[4210087691, 183519381]	['4210087691 - Beijing Tian Tan Hospital', '183519381 - Capital Medical University']	Capital Medical University	Beijing Tian Tan Hospital	cwts_multi_inst_related
W3031541545	Department of Neurology, Beijing Tiantan Hospital, Capital Medical University, Beijing, China.	[4210087691, 183519381]	['4210087691 - Beijing Tian Tan Hospital', '183519381 - Capital Medical University']	Capital Medical University	Beijing Tian Tan Hospital	cwts_multi_inst_related
W3212885089	Department of Neurology, Beijing Tiantan Hospital, Capital Medical University, Beijing, China.	[4210087691, 183519381]	['4210087691 - Beijing Tian Tan Hospital', '183519381 - Capital Medical University']	Capital Medical University	Beijing Tian Tan Hospital	cwts_multi_inst_related
W3031541545	Department of Neurology, Beijing Tiantan Hospital, Capital Medical University, Beijing, China.	[4210087691, 183519381]	['4210087691 - Beijing Tian Tan Hospital', '183519381 - Capital Medical University']	Capital Medical University	Beijing Tian Tan Hospital	cwts_multi_inst_related
W3212885089	Department of Neurology, Beijing Tiantan Hospital, Capital Medical University, Beijing, China.	[4210087691, 183519381]	['4210087691 - Beijing Tian Tan Hospital', '183519381 - Capital Medical University']	Capital Medical University	Beijing Tian Tan Hospital	cwts_multi_inst_related
W2011015022	Department of Obstetrics and Gynecology, Beijing Tiantan Hospital, Capital Medical University, Beijing, China.	[4210087691, 183519381]	['4210087691 - Beijing Tian Tan Hospital', '183519381 - Capital Medical University']	Capital Medical University	Beijing Tian Tan Hospital	cwts_multi_inst_related
W2296087207	Department of Pathology, Beijing Tiantan Hospital, Capital Medical University, No. 6 Tiantan Xili, Dongcheng District, Beijing, 100050, China.	[4210087691, 183519381]	['4210087691 - Beijing Tian Tan Hospital', '183519381 - Capital Medical University']	Capital Medical University	Beijing Tian Tan Hospital	cwts_multi_inst_related
W3044647543	Guangzhou Institute of Cardiovascular Disease, Guangdong Key Laboratory of Vascular Diseases, State Key Laboratory of Respiratory Disease, The Second Affiliated Hospital of Guangzhou Medical University, Guangzhou, Guangdong 510260, PR China.	[4210090868, 4210154954]	['4210090868 - Second Affiliated Hospital of Guangzhou Medical University', '4210154954 - State Key Laboratory of Respiratory Disease']	State Key Laboratory of Respiratory Disease	Second Affiliated Hospital of Guangzhou Medical University	cwts_multi_inst_related
W4226297174	Thoracic Surgery and Oncology, State Key Laboratory of Respiratory Diseases - The First Affiliated Hospital of Guangzhou Medical University, Guangzhou, China	[4210098361, 4210154954]	['4210098361 - First Affiliated Hospital of Guangzhou Medical University', '4210154954 - State Key Laboratory of Respiratory Disease']	State Key Laboratory of Respiratory Disease	First Affiliated Hospital of Guangzhou Medical University	cwts_multi_inst_related
W2090413955	1The State Key Laboratory of Respiratory Diseases, The First Affiliated Hospital, Guangzhou Medical University, Guangzhou, Guangdong, China;	[4210098361, 4210154954]	['4210098361 - First Affiliated Hospital of Guangzhou Medical University', '4210154954 - State Key Laboratory of Respiratory Disease']	State Key Laboratory of Respiratory Disease	First Affiliated Hospital of Guangzhou Medical University	cwts_multi_inst_related
W2308905527	State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Disease, First Affiliated Hospital of Guangzhou Medical University, Guangzhou, 510120, China	[4210098361, 4210154954]	['4210098361 - First Affiliated Hospital of Guangzhou Medical University', '4210154954 - State Key Laboratory of Respiratory Disease']	State Key Laboratory of Respiratory Disease	First Affiliated Hospital of Guangzhou Medical University	cwts_multi_inst_related
W3088549470	Department of Orthopaedic Oncology, Spinal Tumor Center, Shanghai Changzheng Hospital, Second Military Medical University, Shanghai 200003, People's Republic of China.	[177933477, 4210099558]	['177933477 - Second Military Medical University', '4210099558 - Shanghai Changzheng Hospital']	Second Military Medical University	Shanghai Changzheng Hospital	cwts_multi_inst_related
W2029245460	Department of Respiratory Disease, Changzheng Hospital, Second Military Medical University, 415 Fengyang Road, Shanghai 200003, China.	[177933477, 4210099558]	['177933477 - Second Military Medical University']	Second Military Medical University	Shanghai Changzheng Hospital	cwts_multi_inst_related
W2886013987	Center for Comprehensive Treatment of Atrial Fibrillation, Department of Cardiothoracic Surgery, Changzheng Hospital, Second Military Medical University, Shanghai, China	[177933477, 4210099558]	['177933477 - Second Military Medical University']	Second Military Medical University	Shanghai Changzheng Hospital	cwts_multi_inst_related
W2597642170	Department of Neurosurgery, Changzheng Hospital, Second Military Medical University, Shanghai, PR, China.	[177933477, 4210099558]	['177933477 - Second Military Medical University']	Second Military Medical University	Shanghai Changzheng Hospital	cwts_multi_inst_related
W3031420786	Department of Joint Surgery and Sports Medicine, Shanghai Changzheng Hospital, Second Military Medical University, Shanghai, China.	[177933477, 4210099558]	['177933477 - Second Military Medical University', '4210099558 - Shanghai Changzheng Hospital']	Second Military Medical University	Shanghai Changzheng Hospital	cwts_multi_inst_related
W2084755568	Liver Fibrosis Research Center, Changzheng Hospital, Second Military Medical University, Shanghai, China	[177933477, 4210099558]	['177933477 - Second Military Medical University']	Second Military Medical University	Shanghai Changzheng Hospital	cwts_multi_inst_related
W2255510997	1 Translational Medicine Center, Second Military Medical University , Shanghai, People's Republic of China .	[177933477, 4210099558]	['177933477 - Second Military Medical University']	Second Military Medical University	Shanghai Changzheng Hospital	cwts_multi_inst_related
W2593078109	Department of Orthopedic Trauma Surgery, Changzheng Hospital, The Second Military Medical University, Shanghai 200003, P.R. China	[177933477, 4210099558]	['177933477 - Second Military Medical University']	Second Military Medical University	Shanghai Changzheng Hospital	cwts_multi_inst_related
W3158780761	Department of Respiratory and Critical Care Medicine Changzheng Hospital Second Military Medical University Shanghai China	[177933477, 4210099558]	['177933477 - Second Military Medical University']	Second Military Medical University	Shanghai Changzheng Hospital	cwts_multi_inst_related
W3128696483	Spine Center, Department of Orthopedics, Changzheng Hospital, Naval Medical University, Shanghai, People's Republic of China.	[177933477, 4210099558]	['4210099558 - Shanghai Changzheng Hospital']	Second Military Medical University	Shanghai Changzheng Hospital	cwts_multi_inst_related
W2009516213	Department of Oncology, Nanfang Hospital, Southern Medical University, Guangzhou, People's Republic of China	[58200834, 4210103346]	['58200834 - Southern Medical University', '4210103346 - Nanfang Hospital']	Southern Medical University	Nanfang Hospital	cwts_multi_inst_related
W3135417421	Department of Hematology, Nanfang Hospital, Southern Medical University, Guangzhou, 510515, Guangdong Province, China.	[58200834, 4210103346]	['58200834 - Southern Medical University', '4210103346 - Nanfang Hospital']	Southern Medical University	Nanfang Hospital	cwts_multi_inst_related
W2550369997	Department of Endocrinology and Metabolism , Nanfang Hospital, Southern Medical University, Guangzhou 510515, China	[58200834, 4210103346]	['58200834 - Southern Medical University', '4210103346 - Nanfang Hospital']	Southern Medical University	Nanfang Hospital	cwts_multi_inst_related
W2955591998	Guangzhou Institute of Pediatrics, Guangzhou Women and Children's Medical Center Guangzhou Medical University Guangzhou China	[92039509, 4210105982]	['92039509 - Guangzhou Medical University']	Guangzhou Medical University	Guangzhou Women and Children Medical Center	cwts_multi_inst_related
W2172270245	Department of Surgery, The Chinese University of Hong Kong, Prince of Wales Hospital, Shatin, Hong Kong, China	[177725633, 4210114914]	['177725633 - Chinese University of Hong Kong', '4210114914 - Prince of Wales Hospital']	Chinese University of Hong Kong	Prince of Wales Hospital	cwts_multi_inst_related
W1568037865	The Chinese University of Hong Kong Division of Cardiology SH Ho Cardiovascular and Stroke Centre Department of Medicine and Therapeutics Prince of Wales Hospital Hong Kong SAR	[177725633, 4210114914]	['889458895 - University of Hong Kong']	Chinese University of Hong Kong	Prince of Wales Hospital	cwts_multi_inst_related
W1635114751	Department of Obstetrics and Gynecology, the Chinese University of Hong Kong, Prince of Wales Hospital, Hong Kong, SAR.	[177725633, 4210114914]	['889458895 - University of Hong Kong']	Chinese University of Hong Kong	Prince of Wales Hospital	cwts_multi_inst_related
W1641661830	Clinical Immunology Unit, The Chinese University of Hong Kong, Prince of Wales Hospital, Shatin, Hong Kong,#N#1#N# and	[177725633, 4210114914]	['889458895 - University of Hong Kong']	Chinese University of Hong Kong	Prince of Wales Hospital	cwts_multi_inst_related
W2162450250	Department of Chemical Pathology, The Prince of Wales Hospital, The                         Chinese University of Hong Kong, Shatin, Hong Kong	[177725633, 4210114914]	['889458895 - University of Hong Kong']	Chinese University of Hong Kong	Prince of Wales Hospital	cwts_multi_inst_related
W2081683125	Department of Imaging and Interventional Radiology Prince of Wales Hospital The Chinese University of Hong Kong Shatin Hong Kong SAR China	[4210114914, 177725633]	['4210114914 - Prince of Wales Hospital', '177725633 - Chinese University of Hong Kong']	Chinese University of Hong Kong	Prince of Wales Hospital	cwts_multi_inst_related
W2049262181	Department of Orthopaedics, Changhai Hospital, Second Military Medical University, Shanghai, 200433, China.	[177933477, 4210115928]	['177933477 - Second Military Medical University', '4210115928 - Changhai Hospital']	Second Military Medical University	Changhai Hospital	cwts_multi_inst_related
W3123886265	Department of Vascular Surgery Changhai Hospital, Navy Medical University Shanghai China	[177933477, 4210115928]	['4210115928 - Changhai Hospital']	Second Military Medical University	Changhai Hospital	cwts_multi_inst_related
W2914195959	Department of Otolaryngology–Head and Neck Surgery Changhai Hospital, Second Military Medical University Shanghai People's Republic of China	[177933477, 4210115928]	['177933477 - Second Military Medical University', '4210115928 - Changhai Hospital']	Second Military Medical University	Changhai Hospital	cwts_multi_inst_related
W4200352761	Peking University People's Hospital, Peking University Institute of Hematology, Beijing Key Laboratory of Hematopoietic Stem Cell Transplantation, National Clinical Research Center for Hematologic Disease, Beijing, China.	[4210124809, 20231570]	["4210124809 - Peking University People's Hospital"]	Peking University	Peking University People's Hospital	cwts_multi_inst_related
W3201802042	Department of Laboratory Medicine the First Hospital of Jilin University Jilin University  Changchun P. R. China	[4210125137, 194450716]	['4210125137 - First Hospital of Jilin University']	Jilin University	First Hospital of Jilin University	cwts_multi_inst_related
W3024319412	Department of Respiration, The First Hospital of Jilin University, Jilin University, Changchun 130021, Jilin, China	[4210125137, 194450716]	['4210125137 - First Hospital of Jilin University']	Jilin University	First Hospital of Jilin University	cwts_multi_inst_related
W4210791279	State Key Laboratory for Mesoscopic Physics, Collaborative Innovation Center of Quantum Matter, Frontiers Science Center for Nano-optoelectronics, School of Physics, Peking University, Beijing 100871, China	[4210127494, 20231570]	['4210127494 - Collaborative Innovation Center of Quantum Matter', '20231570 - Peking University']	Peking University	Collaborative Innovation Center of Quantum Matter	cwts_multi_inst_related
W4291555108	Department of Hepatic Surgery VI, Eastern Hepatobiliary Surgery Hospital, Naval Medical University, Shanghai, 200438, China	[4210137389, 177933477]	['4210137389 - Eastern Hepatobiliary Surgery Hospital']	Second Military Medical University	Eastern Hepatobiliary Surgery Hospital	cwts_multi_inst_related
W4200623907	Department of Hepatic Surgery VI, Eastern Hepatobiliary Surgery Hospital, Second Military Medical University, Shanghai, China	[4210137389, 177933477]	['4210137389 - Eastern Hepatobiliary Surgery Hospital']	Second Military Medical University	Eastern Hepatobiliary Surgery Hospital	cwts_multi_inst_related
W2560240390	Eastern Hepatobiliary Surgery Hospital, Second Military Medical University, Shanghai 200438, China	[4210137389, 177933477]	['4210137389 - Eastern Hepatobiliary Surgery Hospital']	Second Military Medical University	Eastern Hepatobiliary Surgery Hospital	cwts_multi_inst_related
W4296122528	Department of Radiology, Eastern Hepatobilliary Surgery Hospital, The Second Military Medical University, No. 225 Changhai Road Yangpu Area, Shanghai 200433, China	[4210137389, 177933477]	['4210137389 - Eastern Hepatobiliary Surgery Hospital']	Second Military Medical University	Eastern Hepatobiliary Surgery Hospital	cwts_multi_inst_related
W3105590461	Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan 430074, China	[4210138186, 47720641]	['4210138186 - Wuhan National Laboratory for Optoelectronics', '47720641 - Huazhong University of Science and Technology']	Huazhong University of Science and Technology	Wuhan National Laboratory for Optoelectronics	cwts_multi_inst_related
W3088431184	[Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan 430074, China]	[4210138186, 47720641]	['4210138186 - Wuhan National Laboratory for Optoelectronics', '47720641 - Huazhong University of Science and Technology']	Huazhong University of Science and Technology	Wuhan National Laboratory for Optoelectronics	cwts_multi_inst_related
W2475115355	[Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan 430074, China]	[4210138186, 47720641]	['4210138186 - Wuhan National Laboratory for Optoelectronics', '47720641 - Huazhong University of Science and Technology']	Huazhong University of Science and Technology	Wuhan National Laboratory for Optoelectronics	cwts_multi_inst_related
W3088431184	[Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan 430074, China]	[4210138186, 47720641]	['4210138186 - Wuhan National Laboratory for Optoelectronics', '47720641 - Huazhong University of Science and Technology']	Huazhong University of Science and Technology	Wuhan National Laboratory for Optoelectronics	cwts_multi_inst_related
W2475115355	[Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan 430074, China]	[4210138186, 47720641]	['4210138186 - Wuhan National Laboratory for Optoelectronics', '47720641 - Huazhong University of Science and Technology']	Huazhong University of Science and Technology	Wuhan National Laboratory for Optoelectronics	cwts_multi_inst_related
W3031301015	Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, Hubei 430074, People's Republic of China	[4210138186, 47720641]	['4210138186 - Wuhan National Laboratory for Optoelectronics', '47720641 - Huazhong University of Science and Technology']	Huazhong University of Science and Technology	Wuhan National Laboratory for Optoelectronics	cwts_multi_inst_related
W2907995170	[Wuhan National Laboratory for Optoelectronics, School of Optical and Electronic information, Huazhong University of Science and Technology, Wuhan, China]	[4210138186, 47720641]	['4210138186 - Wuhan National Laboratory for Optoelectronics', '47720641 - Huazhong University of Science and Technology']	Huazhong University of Science and Technology	Wuhan National Laboratory for Optoelectronics	cwts_multi_inst_related
W2594783001	[Wuhan National Laboratory for Optoelectronics, School of Optical and Electronic information, Huazhong University of Science and Technology, Wuhan, China]	[4210138186, 47720641]	['4210138186 - Wuhan National Laboratory for Optoelectronics', '47720641 - Huazhong University of Science and Technology']	Huazhong University of Science and Technology	Wuhan National Laboratory for Optoelectronics	cwts_multi_inst_related
W2907995170	[Wuhan National Laboratory for Optoelectronics, School of Optical and Electronic information, Huazhong University of Science and Technology, Wuhan, China]	[4210138186, 47720641]	['4210138186 - Wuhan National Laboratory for Optoelectronics', '47720641 - Huazhong University of Science and Technology']	Huazhong University of Science and Technology	Wuhan National Laboratory for Optoelectronics	cwts_multi_inst_related
W2594783001	[Wuhan National Laboratory for Optoelectronics, School of Optical and Electronic information, Huazhong University of Science and Technology, Wuhan, China]	[4210138186, 47720641]	['4210138186 - Wuhan National Laboratory for Optoelectronics', '47720641 - Huazhong University of Science and Technology']	Huazhong University of Science and Technology	Wuhan National Laboratory for Optoelectronics	cwts_multi_inst_related
W2783476519	Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, Hubei, 430074, PR China	[4210138186, 47720641]	['4210138186 - Wuhan National Laboratory for Optoelectronics', '47720641 - Huazhong University of Science and Technology']	Huazhong University of Science and Technology	Wuhan National Laboratory for Optoelectronics	cwts_multi_inst_related
W3160845761	Department of Orthopaedics; Shanghai Jiao Tong University; Affiliated Sixth People's Hospital; 600 Yishan Road Shanghai 200233 China	[4210144482, 183067930]	["4210144482 - Shanghai Sixth People's Hospital", '183067930 - Shanghai Jiao Tong University']	Shanghai Jiao Tong University	Shanghai Sixth People's Hospital	cwts_multi_inst_related
W2025182501	Department of Radiology, Shanghai Sixth People's Hospital Affiliated to Shanghai Jiao Tong University, Shanghai, China.	[4210144482, 183067930]	["4210144482 - Shanghai Sixth People's Hospital", '183067930 - Shanghai Jiao Tong University']	Shanghai Jiao Tong University	Shanghai Sixth People's Hospital	cwts_multi_inst_related
W4229004644	Department of Hepatology Division 2, Beijing Ditan Hospital, Capital Medical University, Beijing, China	[4210150338, 183519381]	['4210150338 - Beijing Ditan Hospital', '183519381 - Capital Medical University']	Capital Medical University	Beijing Ditan Hospital	cwts_multi_inst_related
W3037170293	School of Chemical Engineering and Technology, Tianjin University, National Engineering Research Center of Distillation Technology, Collaborative Innovation Center of Chemical Science and Engineering (Tianjin), Tianjin 300072, China	[4210151209, 162868743]	['4210151209 - Collaborative Innovation Center of Chemical Science and Engineering Tianjin', '162868743 - Tianjin University']	Tianjin University	Collaborative Innovation Center of Chemical Science and Engineering Tianjin	cwts_multi_inst_related
W1927028300	State Key Laboratory of Elemento-organic Chemistry, Collaborative Innovation Center of Chemical Science and Engineering, Nankai University , Tianjin 300071, China.	[205237279, 4210151209]	['205237279 - Nankai University']	Nankai University	Collaborative Innovation Center of Chemical Science and Engineering Tianjin	cwts_multi_inst_related
W2944458513	State Key Laboratory of Respiratory Diseases, Guangzhou Institute of Respiratory Disease, Affiliated Cancer Hospital & Institute of Guangzhou Medical University, Guangzhou, China	[4210154954, 92039509, 4210153921]	['4210154954 - State Key Laboratory of Respiratory Disease', '92039509 - Guangzhou Medical University']	Guangzhou Medical University	Guangzhou Medical University Cancer Hospital	cwts_multi_inst_related
W4210870473	Department of Gastrointestinal Surgery/Department of Clinical Nutrition, Beijing Shijitan Hospital, Capital Medical University, Beijing, China	[4210154593, 183519381]	['4210154593 - Beijing Shijitan Hospital', '183519381 - Capital Medical University']	Capital Medical University	Beijing Shijitan Hospital	cwts_multi_inst_related
W2251812731	Department of medical oncology, capital medical university cancer center, Beijing Shijitan hospital, 100038 Beijing, China.	[4210154593, 183519381]	['4210154593 - Beijing Shijitan Hospital']	Capital Medical University	Beijing Shijitan Hospital	cwts_multi_inst_related
W3126770062	Department of Respiratory and Critical Care, Beijing Shijitan Hospital, Capital Medical University, Beijing, China.	[4210154593, 183519381]	['4210154593 - Beijing Shijitan Hospital', '183519381 - Capital Medical University']	Capital Medical University	Beijing Shijitan Hospital	cwts_multi_inst_related
W2050955309	Department of Urology, Taizhou Hospital of Zhejiang Province, Wenzhou Medical College, Linhai, Zhejiang, China	[4210158774, 27781120]	['-1 - None']	Zhejiang Taizhou Hospital	Wenzhou Medical University	cwts_multi_inst_related
W2063893682	Xijing Hospital, Fourth Military Medical University, Department of Neurology, Xi’an, 710032, China	[9916479, 4210158926]	['9916479 - Air Force Medical University', '4210158926 - Xijing Hospital']	Air Force Medical University	Xijing Hospital	cwts_multi_inst_related
W2961980499	Department of Pulmonary Medicine, Xijing Hospital, Fourth Military Medical University, No. 15, Changle West Road, Xi'an, Shaanxi 710032, China.	[9916479, 4210158926]	['9916479 - Air Force Medical University', '4210158926 - Xijing Hospital']	Air Force Medical University	Xijing Hospital	cwts_multi_inst_related
W2040557432	Xijing Hospital of Digestive Diseases, The Fourth Military Medical University, Xi'an, China.	[4210158926, 9916479]	['4210158926 - Xijing Hospital', '9916479 - Air Force Medical University']	Air Force Medical University	Xijing Hospital	cwts_multi_inst_related
W2794390025	a Department of Neurology , Xijing Hospital, Fourth Military Medical University , Xi'an , China.	[9916479, 4210158926]	['9916479 - Air Force Medical University', '4210158926 - Xijing Hospital']	Air Force Medical University	Xijing Hospital	cwts_multi_inst_related
W2162239400	Department of Cardiology, Xijing Hospital, Fourth Military Medical University, Xi’an, Shannxi 710032, China	[9916479, 4210158926]	['9916479 - Air Force Medical University', '4210158926 - Xijing Hospital']	Air Force Medical University	Xijing Hospital	cwts_multi_inst_related
W4210369436	Department of Dermatology, Xijing Hospital, Fourth Military Medical University, Xi'an, Shaanxi 710032, China.	[9916479, 4210158926]	['9916479 - Air Force Medical University', '4210158926 - Xijing Hospital']	Air Force Medical University	Xijing Hospital	cwts_multi_inst_related
W3016463962	Department of Endocrinology, Xijing Hospital, Fourth Military Medical University, Xi'an, China	[9916479, 4210158926]	['9916479 - Air Force Medical University', '4210158926 - Xijing Hospital']	Air Force Medical University	Xijing Hospital	cwts_multi_inst_related
W2059568591	Department of Endocrinology and Metabolism, Xijing Hospital, The Fourth Military Medical University, Xi’an, Shaanxi, China	[9916479, 4210158926]	['9916479 - Air Force Medical University', '4210158926 - Xijing Hospital']	Air Force Medical University	Xijing Hospital	cwts_multi_inst_related
W3159304724	Radiation Oncology Center, Huashan Hospital, Shanghai Medical College, Fudan University, Shanghai, China	[4210159575, 24943067]	['4210159575 - Huashan Hospital', '24943067 - Fudan University']	Fudan University	Huashan Hospital	cwts_multi_inst_related
W2790710102	1 Department of Pancreatic Surgery, Huashan Hospital, Fudan University, Shanghai, China.	[4210159575, 24943067]	['4210159575 - Huashan Hospital', '24943067 - Fudan University']	Fudan University	Huashan Hospital	cwts_multi_inst_related
W2119430710	Department of Radiation Oncology, Huashan Hospital Fudan University, Shanghai, China.	[4210159575, 24943067]	['4210159575 - Huashan Hospital', '24943067 - Fudan University']	Fudan University	Huashan Hospital	cwts_multi_inst_related
W3117133150	Phase I Clinical Research Center, Huashan Hospital, Fudan University, No.12 in Wurumuqi Road, Jingan Area, Shanghai, China.	[4210159575, 24943067]	['4210159575 - Huashan Hospital', '24943067 - Fudan University']	Fudan University	Huashan Hospital	cwts_multi_inst_related
W3047115999	Department of Neurosurgery, Huashan Hospital, Fudan University, Shanghai 200040, P.R. China	[4210159575, 24943067]	['4210159575 - Huashan Hospital', '24943067 - Fudan University']	Fudan University	Huashan Hospital	cwts_multi_inst_related
W3174352784	PET Center, Huashan Hospital, Fudan University, Shanghai 200040, China.	[4210159575, 24943067]	['4210159575 - Huashan Hospital', '24943067 - Fudan University']	Fudan University	Huashan Hospital	cwts_multi_inst_related
W3001854206	Department of Echocardiography, Fuwai Hospital, National Center for Cardiovascular Diseases, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, The People's Republic of China.	[200296433, 4210161896]	['200296433 - Chinese Academy of Medical Sciences & Peking Union Medical College']	Chinese Academy of Medical Sciences & Peking Union Medical College	Fu Wai Hospital	cwts_multi_inst_related
W3006902162	State Key Laboratory of Cardiovascular Disease; Fu Wai Hospital; National Center for Cardiovascular Diseases; Chinese Academy of Medical Sciences & Peking Union Medical College; Beijing China	[4210161896, 200296433]	['4210161896 - Fu Wai Hospital', '200296433 - Chinese Academy of Medical Sciences & Peking Union Medical College']	Chinese Academy of Medical Sciences & Peking Union Medical College	Fu Wai Hospital	cwts_multi_inst_related
W3199023958	Department of Anaesthesiology, Fuwai Hospital, National Centre for Cardiovascular Diseases, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, China.	[4210161896, 200296433]	['200296433 - Chinese Academy of Medical Sciences & Peking Union Medical College']	Chinese Academy of Medical Sciences & Peking Union Medical College	Fu Wai Hospital	cwts_multi_inst_related
W4220986456	Endocrinology Centre, Fuwai Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, China.	[2801228662, 200296433]	['2801228662 - Peking Union Medical College Hospital', '200296433 - Chinese Academy of Medical Sciences & Peking Union Medical College']	Fu Wai Hospital	Chinese Academy of Medical Sciences & Peking Union Medical College	cwts_multi_inst_related
W4214761249	Fuwai Hospital, Chinese Academy of Medical Sciences & Peking Union Medical College, National Center for Cardiovascular Diseases, No. 167 Beilishi Road, Xicheng District, Beijing 100037, China	[4210161896, 200296433]	['200296433 - Chinese Academy of Medical Sciences & Peking Union Medical College']	Chinese Academy of Medical Sciences & Peking Union Medical College	Fu Wai Hospital	cwts_multi_inst_related
W4213332324	Department of Radiology, 2nd Faculty of Medicine, Motol University Hospital, Charles University, Prague, Czech Republic.	[4210097985, 21250087]	['4210097985 - University Hospital in Motol', '21250087 - Charles University']	21250087	4210097985	cwts_multi_inst_related
W2024802108	Department of Obstetrics and Gynecology, University Hospital, Faculty of Medicine, Charles University, Pilsen, Czech Republic	[21250087]	['21250087 - Charles University']	21250087	Fakultní Nemocnice Plzeň	cwts_multi_inst_related
W2055136979	Institute of Clinical Pharmacology, University Medical Center Charité, Humboldt University of Berlin, Berlin, Germany.	[39343248, 7877124]	['39343248 - Humboldt-Universität zu Berlin', '7877124 - Charité - University Medicine Berlin']	39343248	0	cwts_multi_inst_related
W2037107195	Department of Pathology, University Hospital Charité, Humboldt University, Berlin, Germany	[39343248, 7877124]	['39343248 - Humboldt-Universität zu Berlin', '7877124 - Charité - University Medicine Berlin']	39343248	0	cwts_multi_inst_related
W2025191185	Institute of Medical Immunology, Charité, Humboldt University Berlin , Berlin, Germany	[39343248, 7877124]	['39343248 - Humboldt-Universität zu Berlin', '7877124 - Charité - University Medicine Berlin']	39343248	0	cwts_multi_inst_related
W2041941116	Department of Gastroenterology, Hepatology, Endocrinology, Metabolism and Nutrition, Medical Faculty Charité, Humboldt University, Berlin, Germany.	[39343248, 7877124]	['39343248 - Humboldt-Universität zu Berlin', '7877124 - Charité - University Medicine Berlin']	39343248	0	cwts_multi_inst_related
W2288341886	[Hasso Plattner Institute, University of Potsdam, Potsdam, Germany]	[143288331, 176453806]	['143288331 - Hasso Plattner Institute', '176453806 - University of Potsdam']	176453806	143288331	cwts_multi_inst_related
W3176033017	University of Potsdam, Hasso-Plattner-Institute, Germany	[143288331, 176453806]	['143288331 - Hasso Plattner Institute', '176453806 - University of Potsdam']	176453806	143288331	cwts_multi_inst_related
W2959180713	Department of Hematology, Oncology and Immunology, University Hospital Giessen and Marburg, Campus Marburg, Philipps University Marburg, Marburg, Germany.	[268975460, 161103922]	['268975460 - Universitätsklinikum Gießen und Marburg']	Philipps University of Marburg	268975460	cwts_multi_inst_related
W4283257410	Department of Internal Medicine II, University Hospital Giessen and Marburg, Justus-Liebig-University Giessen, Klinikstrasse 33, 35392, Giessen, Germany.	[200763008, 268975460]	['200763008 - University of Giessen', '268975460 - Universitätsklinikum Gießen und Marburg']	200763008	268975460	cwts_multi_inst_related
W1969319872	Neural Regeneration Unit, Institute of Reconstructive Neurobiology, University Hospital Bonn, University Bonn, Bonn, Germany	[2799391451, 135140700]	['2799391451 - University Hospital Bonn', '135140700 - University of Bonn']	135140700	2799391451	cwts_multi_inst_related
W2094418487	Clinical Neurooncology Unit, Dept. of Neurology, University of Bonn, Medical Center, Bonn, Germany	[2799391451, 135140700]	['2799391451 - University Hospital Bonn', '135140700 - University of Bonn']	135140700	2799391451	cwts_multi_inst_related
W3158430656	University Centre for Complementary Medicine, Medical Faculty, Medical Center - University of Freiburg, Freiburg, Germany.	[161046081, 2801240073]	['161046081 - University of Freiburg', '2801240073 - University Medical Center Freiburg']	161046081	2801240073	cwts_multi_inst_related
W2901864956	Institute of Forensic Medicine, Forensic Toxicology, Medical Center - University of Freiburg, Faculty of Medicine, University of Freiburg , Albertstr. 9, 79104 Freiburg, Germany.	[161046081, 2801240073]	['161046081 - University of Freiburg', '2801240073 - University Medical Center Freiburg']	161046081	2801240073	cwts_multi_inst_related
W4220656550	Department of Neurology and Clinical Neuroscience, Medical Faculty, University Hospital, University of Freiburg i.Br., Germany.	[161046081, 2801240073]	['161046081 - University of Freiburg', '2801240073 - University Medical Center Freiburg']	161046081	2801240073	cwts_multi_inst_related
W2487330640	Institute of Psychopharmacology, Central Institute of Mental Health, Medical Faculty Mannheim Heidelberg University Mannheim Germany	[223822909, 4210105615]	['223822909 - Heidelberg University', '4210105615 - Central Institute of Mental Health']	Heidelberg University	4210105615	cwts_multi_inst_related
W2972854093	Department of Radiation Oncology, University Medical Center Mannheim, University of Heidelberg, Mannheim, Germany	[4210156450, 223822909]	['4210156450 - University Medical Centre Mannheim']	Heidelberg University	4210156450	cwts_multi_inst_related
W3207306126	5th Medical Department, Medical Faculty Mannheim, University of Heidelberg, D-68167 Mannheim, Germany.	[4210156450, 223822909]	['4210156450 - University Medical Centre Mannheim']	Heidelberg University	4210156450	cwts_multi_inst_related
